Country,Year,Status,LifeExpectancy
Philippines,2001,Developing,66.8
Philippines,2000,Developing,66.8
Poland,2014,Developed,77.3
Poland,2013,Developed,77.1
Poland,2012,Developed,76.8
Poland,2011,Developed,76.7
Poland,2010,Developed,76.3
Poland,2009,Developed,75.7
Poland,2008,Developed,75.5
Poland,2007,Developed,75.3
Poland,2006,Developed,75.2
Poland,2005,Developed,75.0
Poland,2004,Developed,74.9
Poland,2003,Developed,74.7
Poland,2002,Developed,74.5
Poland,2001,Developed,74.2
Poland,2000,Developed,73.7
Portugal,2014,Developed,89.0
Portugal,2013,Developed,86.0
Portugal,2012,Developed,83.0
Portugal,2011,Developed,82.0
Portugal,2010,Developed,79.6
Portugal,2009,Developed,79.3
Portugal,2008,Developed,79.0
Portugal,2007,Developed,78.7
Portugal,2006,Developed,78.5
Portugal,2005,Developed,77.7
Portugal,2004,Developed,78.0
Portugal,2003,Developed,77.3
Portugal,2002,Developed,77.2
Portugal,2001,Developed,76.9
Portugal,2000,Developed,76.6
Romania,2014,Developed,74.8
Romania,2013,Developed,74.6
Romania,2012,Developed,74.4
Romania,2011,Developed,74.3
Romania,2010,Developed,73.4
Romania,2009,Developed,73.1
Romania,2008,Developed,73.1
Romania,2007,Developed,72.9
Romania,2006,Developed,72.5
Romania,2005,Developed,71.9
Romania,2004,Developed,71.7
Romania,2003,Developed,71.1
Romania,2002,Developed,77.0
Romania,2001,Developed,78.0
Romania,2000,Developed,77.0
Russian Federation,2014,Developing,73.0
Russian Federation,2013,Developing,70.0
Russian Federation,2012,Developing,69.6
Russian Federation,2011,Developing,69.4
Russian Federation,2010,Developing,68.4
Russian Federation,2009,Developing,68.2
Russian Federation,2008,Developing,67.5
Russian Federation,2007,Developing,67.3
Russian Federation,2006,Developing,66.4
Russian Federation,2005,Developing,65.0
Russian Federation,2004,Developing,64.9
Russian Federation,2003,Developing,64.6
Russian Federation,2002,Developing,64.8
Russian Federation,2001,Developing,65.1
Rwanda,2014,Developing,65.7
Rwanda,2013,Developing,65.2
Rwanda,2012,Developing,64.6
Rwanda,2011,Developing,63.8
Rwanda,2010,Developing,62.8
Rwanda,2009,Developing,61.0
Rwanda,2008,Developing,68.0
Rwanda,2007,Developing,59.6
Rwanda,2006,Developing,57.6
Rwanda,2005,Developing,55.3
Rwanda,2004,Developing,53.4
Rwanda,2003,Developing,52.0
Rwanda,2002,Developing,57.0
Samoa,2014,Developing,73.8
Samoa,2013,Developing,73.6
Samoa,2012,Developing,73.2
Samoa,2011,Developing,73.0
Samoa,2010,Developing,72.6
Samoa,2009,Developing,76.0
Samoa,2008,Developing,72.5
Samoa,2007,Developing,72.2
Samoa,2006,Developing,72.0
Samoa,2005,Developing,71.6
Samoa,2004,Developing,71.4
Samoa,2003,Developing,79.0
Samoa,2002,Developing,76.0
Samoa,2001,Developing,75.0
Samoa,2000,Developing,72.0
Sao Tome and Principe,2014,Developing,67.3
Sao Tome and Principe,2013,Developing,67.1
Sao Tome and Principe,2012,Developing,66.9
Sao Tome and Principe,2011,Developing,66.6
Sao Tome and Principe,2010,Developing,66.2
Sao Tome and Principe,2009,Developing,65.8
Sao Tome and Principe,2008,Developing,65.4
