Country,Year,GDP,Population
Malawi,2012,374.5,169735.0
Malawi,2011,512.1,15627618.0
Malawi,2010,458.9,1516795.0
Malawi,2009,42.7,1471462.0
Malawi,2008,372.8,14271234.0
Malawi,2007,32.2,1384969.0
Malawi,2006,297.7,13429262.0
Malawi,2005,28.4,1339711.0
Malawi,2004,274.2,1267638.0
Malawi,2003,26.2,12336687.0
Malawi,2002,30.0,1213711.0
Malaysia,2014,11184.0,322817.0
Malaysia,2013,1882.3,2976724.0
Malaysia,2012,1779.5,2917456.0
Malaysia,2011,145.1,28635128.0
Malaysia,2010,971.4,28112289.0
Malaysia,2009,7326.7,2765383.0
Malaysia,2008,8513.6,2711169.0
Malaysia,2007,7269.2,26625845.0
Malaysia,2006,6223.0,26143566.0
Malaysia,2005,5593.8,25659393.0
Malaysia,2004,4955.5,2517419.0
Malaysia,2003,4463.7,2468873.0
Malaysia,2002,4167.4,24198811.0
Malaysia,2001,3915.1,2369897.0
Malaysia,2000,445.2,2318568.0
Maldives,2014,7716.2,41.0
Maldives,2013,7112.3,393.0
Maldives,2012,6541.7,385.0
Maldives,2011,6497.6,377.0
Maldives,2010,633.8,367.0
Maldives,2009,597.2,36.0
Maldives,2008,5828.6,362.0
Maldives,2007,52.9,349.0
Maldives,2006,4428.5,333.0
Maldives,2005,3488.5,321.0
Maldives,2004,3853.3,312.0
Maldives,2003,3432.2,34.0
Maldives,2002,32.4,297.0
Maldives,2001,298.7,292.0
Maldives,2000,2183.0,286.0
Mali,2014,825.6,16962846.0
Mali,2013,777.7,16477818.0
Mali,2012,777.3,16667.0
Mali,2011,835.9,1554989.0
Mali,2010,78.4,157585.0
Mali,2009,697.2,1466597.0
Mali,2008,689.7,14138216.0
Mali,2007,595.6,1367566.0
Mali,2006,521.6,1322764.0
Mali,2005,487.9,12798763.0
Mali,2004,439.4,1239196.0
Mali,2003,391.8,125128.0
Malta,2014,2618.9,427364.0
Malta,2013,2393.2,423374.0
Malta,2012,2193.9,419455.0
Malta,2011,22821.8,416268.0
Malta,2010,2187.8,41458.0
Malta,2009,2675.6,412477.0
Malta,2008,21928.8,49379.0
Malta,2007,19375.6,46724.0
Malta,2006,16671.6,4538.0
Malta,2005,15835.3,43834.0
Malta,2004,1519.5,41268.0
Malta,2003,13690.0,398582.0
Mauritania,2014,1326.7,46392.0
Mauritania,2013,145.6,394617.0
Mauritania,2012,1364.3,383239.0
Mauritania,2011,1393.3,3717672.0
Mauritania,2010,123.4,369543.0
Mauritania,2009,146.8,356288.0
Mauritania,2008,1167.5,347541.0
Mauritania,2007,113.3,3312665.0
Mauritania,2006,944.1,322653.0
Mauritania,2005,697.7,31372.0
Mauritius,2014,1153.9,126934.0
Mauritius,2013,9637.3,1258653.0
Mauritius,2012,9291.2,1255882.0
Mauritius,2011,9197.3,125244.0
Mauritius,2010,8.4,1254.0
Mauritius,2009,7318.1,1247429.0
Mauritius,2008,83.6,1244121.0
Mauritius,2007,6574.7,123963.0
Mauritius,2006,5696.0,1233996.0
Mauritius,2005,5116.5,1228254.0
Mauritius,2004,5229.9,12213.0
Mauritius,2003,4623.3,121337.0
Mauritius,2002,3957.5,124621.0
Mauritius,2001,3792.2,1196287.0
Mauritius,2000,3861.3,1186873.0
Mexico,2014,1452.3,1242216.0
Mexico,2013,1298.9,122535969.0
Mexico,2012,982.5,1282837.0
Mexico,2011,9834.5,119917.0
Mexico,2010,8959.6,117318941.0
Mexico,2009,7748.1,11555228.0
Mexico,2008,9689.5,11366189.0
Mexico,2007,933.3,111836346.0
Mexico,2006,8767.9,1192378.0
Mexico,2005,7986.8,18472228.0
Mexico,2004,7199.6,16995583.0
Mexico,2003,6752.0,1564453.0
Mexico,2002,716.8,1435568.0
Mexico,2001,731.4,136768.0
Mexico,2000,672.9,11719673.0
Mongolia,2014,4181.6,2923896.0
Mongolia,2013,4385.4,286917.0
Mongolia,2012,4368.8,2814226.0
Mongolia,2011,3769.6,2761516.0
Mongolia,2010,265.4,271265.0
Mongolia,2009,1717.9,2668289.0
Mongolia,2008,2139.6,2628131.0
Mongolia,2007,1634.8,259167.0
Mongolia,2006,1334.7,255812.0
Mongolia,2005,998.8,2526446.0
Mongolia,2004,797.8,2496832.0
Mongolia,2003,646.6,2469286.0
Mongolia,2002,571.5,2443659.0
Mongolia,2001,524.1,2419776.0
Mongolia,2000,474.2,2397436.0
Montenegro,2014,7378.3,62181.0
Montenegro,2013,7186.4,62127.0
Montenegro,2012,6586.7,6261.0
Montenegro,2011,7318.7,6279.0
Montenegro,2010,6682.3,619428.0
Montenegro,2009,6698.8,618294.0
Montenegro,2008,7325.7,616969.0
Montenegro,2007,5957.1,615875.0
Montenegro,2006,4383.6,61525.0
Morocco,2014,3154.5,3431882.0
Morocco,2013,3111.8,33824769.0
Morocco,2012,294.7,33333789.0
Morocco,2011,339.9,32858823.0
Morocco,2010,2834.2,3249639.0
Morocco,2009,2861.6,31989897.0
Morocco,2008,2884.9,31596855.0
Morocco,2007,2494.4,31225881.0
Morocco,2006,2191.5,3869346.0
Morocco,2005,213.8,35217.0
Morocco,2004,1948.8,3179285.0
Morocco,2003,1722.0,29843937.0
Morocco,2002,1413.8,29512368.0
