Country,Year,GDP,Population
Cambodia,2009,738.2,14928.0
Cambodia,2008,745.8,138859.0
Cambodia,2007,631.7,13676693.0
Cambodia,2006,539.9,13474489.0
Cameroon,2014,1441.1,2223994.0
Cameroon,2013,1365.3,21655715.0
Cameroon,2012,1255.6,2182383.0
Cameroon,2011,1295.6,252447.0
Cameroon,2010,1182.9,1997495.0
Cameroon,2009,123.2,19432541.0
Cameroon,2008,1233.5,18978.0
Cameroon,2007,111.7,18395389.0
Cameroon,2006,13.0,17899562.0
Cameroon,2005,952.2,1742795.0
Canada,2014,544.4,35544564.0
Canada,2013,52413.7,35155451.0
Canada,2012,52496.7,3475545.0
Canada,2011,5282.2,3434278.0
Canada,2010,47447.5,345274.0
Canada,2009,4773.5,33628571.0
Canada,2008,46596.3,33245773.0
Canada,2007,44544.5,32887928.0
Canada,2006,4386.7,325755.0
Canada,2005,36189.6,32312.0
Canada,2004,31979.9,31995.0
Canada,2003,28172.1,31676.0
Central African Republic,2014,377.1,4515392.0
Central African Republic,2013,337.5,4499653.0
Central African Republic,2012,486.4,449416.0
Central African Republic,2011,494.3,4476153.0
Central African Republic,2010,446.4,4448525.0
Central African Republic,2009,450.0,44423.0
Chad,2014,126.0,13569438.0
Chad,2013,986.1,13133589.0
Chad,2012,973.5,1275135.0
Chad,2011,989.2,12288651.0
Chad,2010,896.6,1188722.0
Chad,2009,84.5,1152786.0
Chad,2008,929.8,11133861.0
Chile,2014,14817.4,17613798.0
Chile,2013,15941.4,17462982.0
Chile,2012,15431.9,1739746.0
Chile,2011,1475.7,17153357.0
Chile,2010,1286.2,16993354.0
Chile,2009,1243.3,16829442.0
Chile,2008,1781.4,16661942.0
Chile,2007,1526.9,16491687.0
Chile,2006,9484.7,16319792.0
China,2014,7683.5,136427.0
China,2013,777.8,135738.0
China,2012,6337.9,135695.0
China,2011,5633.8,134413.0
China,2010,456.5,133775.0
China,2009,3838.4,133126.0
China,2008,3471.2,1324655.0
China,2007,2695.4,1317885.0
