Country,Year,GDP,Population
Philippines,2001,957.3,79665315.0
Philippines,2000,138.9,77991569.0
Poland,2014,14341.7,3811735.0
Poland,2013,1378.5,384196.0
Poland,2012,13145.1,3863164.0
Poland,2011,13893.2,3863255.0
Poland,2010,12599.5,3842794.0
Poland,2009,11527.6,3815163.0
Poland,2008,141.4,38125759.0
Poland,2007,1126.3,381256.0
Poland,2006,94.8,38141267.0
Poland,2005,821.3,38165445.0
Poland,2004,6681.2,38182222.0
Poland,2003,5693.5,382457.0
Poland,2002,5196.9,3823364.0
Poland,2001,4981.2,3824876.0
Poland,2000,4492.7,38258629.0
Portugal,2014,2277.5,14162.0
Portugal,2013,21618.7,1457295.0
Portugal,2012,2577.4,1514844.0
Portugal,2011,23196.2,155756.0
Portugal,2010,22538.7,15731.0
Portugal,2009,2364.0,1568247.0
Portugal,2008,24815.7,1558177.0
Portugal,2007,2278.6,1542964.0
Portugal,2006,19821.4,1522288.0
Portugal,2005,18784.9,15333.0
Portugal,2004,1845.6,1483861.0
Portugal,2003,15772.7,1458821.0
Portugal,2002,12882.3,1419631.0
Portugal,2001,11729.1,1362722.0
Portugal,2000,1152.4,1289898.0
Romania,2014,12.3,1998979.0
Romania,2013,9585.3,19983693.0
Romania,2012,8558.4,25835.0
Romania,2011,92.3,2147528.0
Romania,2010,8297.5,2246871.0
Romania,2009,822.2,2367487.0
Romania,2008,1136.5,2537875.0
Romania,2007,8214.2,2882982.0
Romania,2006,5828.7,2119376.0
Romania,2005,4676.3,21319685.0
Romania,2004,3552.9,21451748.0
Romania,2003,2775.0,21574326.0
Romania,2002,2124.9,2173496.0
Romania,2001,1839.7,2213197.0
Romania,2000,1668.2,22442971.0
Russian Federation,2014,14126.0,143819666.0
Russian Federation,2013,15543.7,14356911.0
Russian Federation,2012,15154.5,14321676.0
Russian Federation,2011,14212.7,14296868.0
Russian Federation,2010,1675.0,142849449.0
Russian Federation,2009,8562.9,142785342.0
Russian Federation,2008,11635.3,14274235.0
Russian Federation,2007,911.3,1428588.0
Russian Federation,2006,692.2,14349528.0
Russian Federation,2005,5323.5,143518523.0
Russian Federation,2004,412.4,1446754.0
Russian Federation,2003,2975.1,144648257.0
Russian Federation,2002,2375.6,1453646.0
Russian Federation,2001,21.4,14597683.0
Rwanda,2014,76.6,11345357.0
Rwanda,2013,688.9,1165151.0
Rwanda,2012,678.8,1788853.0
Rwanda,2011,617.3,151671.0
Rwanda,2010,563.5,1246842.0
Rwanda,2009,539.2,9977446.0
Rwanda,2008,5.7,978169.0
Rwanda,2007,44.9,944742.0
Rwanda,2006,342.4,92658.0
Rwanda,2005,287.9,8991735.0
Rwanda,2004,236.9,8818438.0
Rwanda,2003,212.7,868346.0
Rwanda,2002,196.6,853625.0
Samoa,2014,4179.0,19229.0
Samoa,2013,4219.7,19757.0
Samoa,2012,4234.6,189194.0
